§,FranchiseName,FranchiseLocation,BillingStaffName,BillingTimeStamp,ServeStaffName,ServeTimeStamp,ChefStaffName,ChefTimeStamp,CustomerName,CustomerLoyaltyNumber,CustomerEmail,CustomerMobileNumber,SaleDateTime,PaymentType,CreditCardDetails,OrderType,CarPlateNumber,DeliveryRequired,DeliveryStaffName,DeliveryTimeStamp,TotalBillValue,FoodItemsPurchased,TaxAmount,DeliveryFees,DiscountAmount,AppliedOfferName,CouponName
1,EtaBetaPi_12,Charlotte,Deanna Wood,14:13.2,Jack Swanson,08:58.7,Seth Pope,47:54.6,Taylor Norman,LOY-7602,erinbrock@example.org,+1-249-860-1527x5720,58:01.1,Cash,,Inhouse,,No,Tammie Murphy,,29.59,Chicken Sandwich,45.6,6.48,15.53,20% Off,Coupon-331
2,EtaBetaPi_23,Atlanta,Jennifer Oliver,41:56.0,Destiny Barrett,24:42.9,Sara Moore MD,17:17.4,Christopher Koch,LOY-8282,fblanchard@example.net,001-655-566-7824,44:43.7,Credit Card,**** **** **** 7987,Online,038-LFTB,No,Kimberly Thompson,56:01.1,181.04,"Milkshake, Mozzarella Sticks, Smoothie, Chicken Nuggets",45.41,14.53,24.93,Buy 1 Get 1 Free,Coupon-748
3,EtaBetaPi_01,Dallas,Joshua Norton,51:37.6,Sydney Henderson,47:58.2,Holly Gordon,25:53.6,Reginald Hanson,LOY-6534,wesleymcdaniel@example.com,+1-332-333-8483x899,34:52.2,Cash,**** **** **** 2294,Drive Through,,Yes,Mr. Steven Hodges,05:09.8,244.35,"Mozzarella Sticks, Fries, Taco, Smoothie",10.92,11.12,15.82,20% Off,Coupon-850
4,EtaBetaPi_09,New York,Sara Moore MD,06:08.9,Donna Smith,46:05.0,Sean Wilson DDS,49:11.8,Kevin Wilson,LOY-2807,upierce@example.net,668.562.5141x7458,20:49.8,Digital Wallet,,Drive Through,75601,No,Cristina Duke,,335.57,"Salad, Hot Dog",28.41,5.35,20.7,Buy 1 Get 1 Free,Coupon-272
5,EtaBetaPi_06,Philadelphia,Nathan Hernandez,55:08.0,Nicole Pittman,07:32.4,Jennifer Oliver,53:41.7,Michael Steele,LOY-2573,manderson@example.net,3197126595,18:53.5,Cash,**** **** **** 7706,Online,,Yes,Jessica Maxwell,16:32.1,188.07,"Hot Dog, Pepsi",22.39,9.08,6.49,,
6,EtaBetaPi_24,Seattle,Kelly Perkins,48:50.3,Danielle Luna,49:31.9,Sean Wilson DDS,23:57.6,Virginia Petersen,,juliedominguez@example.com,819-976-2509,50:49.3,Credit Card,,Online,,No,Bobby Tucker,,115.09,"Ice Cream, Onion Rings",26.09,1.1,10.2,,Coupon-245
7,EtaBetaPi_15,Austin,Margaret Fisher,52:00.8,Samuel Parker,47:31.7,Jonathan Smith,29:53.8,Roger Wise,LOY-5750,manderson@example.net,+1-406-551-6314x5045,15:14.0,Credit Card,,Drive Through,,No,Kara Sanchez,,150.53,"Hot Dog, Chicken Sandwich, Milkshake, Smoothie",13.66,13.19,5.42,20% Off,
8,EtaBetaPi_16,Las Vegas,Joshua Norton,10:52.1,Joshua Fitzpatrick,19:05.5,Tammie Murphy,08:30.1,Mark Ball,LOY-5602,bwilliams@example.org,(787)801-4484x1612,36:30.4,Credit Card,,Uber Eats,002 AYT,Yes,Michael Johnson,,230.39,"Onion Rings, Pasta, Coffee, Pizza",43.81,5.79,1.74,20% Off,
9,EtaBetaPi_24,San Diego,Deanna Wood,27:40.6,Jessica Maxwell,16:10.0,Destiny Barrett,45:19.1,Laura Zhang,LOY-9446,manningmelissa@example.org,+1-420-296-1302x91453,01:45.1,Credit Card,**** **** **** 8787,Drive Through,,No,Donna Smith,07:36.7,81.14,Taco,48.6,0.37,8.87,Family Pack Offer,Coupon-404
10,EtaBetaPi_10,Portland,Donna Smith,17:10.4,Kristin Lester,47:13.9,Dale Sims,57:39.1,Joshua Watson,LOY-8910,scottkatherine@example.net,001-793-304-0520x900,30:38.7,Cash,**** **** **** 8009,Drive Through,,Yes,Dale Sims,53:48.2,490.04,"Chicken Nuggets, Burrito, Veggie Burger, Mozzarella Sticks",45.43,9.34,12.62,Family Pack Offer,
